otu,kingdom,phylum,class,order,family,genus,species,representative_gene
376658,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__RikenellaceaeII,g__unclassified,s__unclassified,number.1 gg_id:00000 some annotation
376734,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__unclassified,s__unclassified,number.1 gg_id:00000 some annotation
377525,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__unclassified,s__unclassified,number.1 gg_id:00000 some annotation
377756,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__RikenellaceaeII,g__unclassified,s__unclassified,number.1 gg_id:00000 some annotation
377793,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__unclassified,number.1 gg_id:00000 some annotation
377900,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__RikenellaceaeII,g__unclassified,s__unclassified,number.1 gg_id:00000 some annotation
377946,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__unclassified,number.1 gg_id:00000 some annotation
378273,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Alcaligenaceae,g__unclassified,s__unclassified,number.1 gg_id:00000 some annotation
378841,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__RikenellaceaeII,g__unclassified,s__unclassified,number.1 gg_id:00000 some annotation
379762,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__unclassified,number.1 gg_id:00000 some annotation
380392,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__RikenellaceaeII,g__unclassified,s__unclassified,number.1 gg_id:00000 some annotation
380753,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__unclassified,number.1 gg_id:00000 some annotation
380842,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiales_Family_XIII._Incertae_Sedis,g__Eubacterium,s__unclassified,number.1 gg_id:00000 some annotation
38129,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__RikenellaceaeII,g__unclassified,s__unclassified,number.1 gg_id:00000 some annotation
381694,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__unclassified,s__unclassified,number.1 gg_id:00000 some annotation
381979,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__unclassified,number.1 gg_id:00000 some annotation
38211,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Anaerostipes,s__unclassified,number.1 gg_id:00000 some annotation
382721,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Coprococcus,s__unclassified,number.1 gg_id:00000 some annotation
382998,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Clostridium,s__Clostridium_methylpentosum,number.1 gg_id:00000 some annotation
383023,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Brucellaceae,g__unclassified,s__unclassified,number.1 gg_id:00000 some annotation
383246,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__unclassified,s__unclassified,number.1 gg_id:00000 some annotation
383659,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__unclassified,s__unclassified,number.1 gg_id:00000 some annotation
383716,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__unclassified,number.1 gg_id:00000 some annotation
383992,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__unclassified,number.1 gg_id:00000 some annotation
385188,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__RikenellaceaeII,g__unclassified,s__unclassified,number.1 gg_id:00000 some annotation
385442,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__unclassified,number.1 gg_id:00000 some annotation
385545,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__unclassified,number.1 gg_id:00000 some annotation
386087,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__unclassified,number.1 gg_id:00000 some annotation
386216,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__unclassified,number.1 gg_id:00000 some annotation
386605,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__RikenellaceaeII,g__unclassified,s__unclassified,number.1 gg_id:00000 some annotation
386729,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__unclassified,number.1 gg_id:00000 some annotation
386765,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__unclassified,number.1 gg_id:00000 some annotation
388058,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__MIZ46,f__unclassified,g__unclassified,s__unclassified,number.1 gg_id:00000 some annotation
